"number","u_om_type","u_begin_time","u_cleared","calendar_duration","u_end_time","priority","u_notification_source","u_resolution_group","u_resolution_source","u_res_code","u_preventable_type","u_affected_nodes","u_public_or_private","u_search_markets","u_affected_area","short_description","u_affected_services","u_of_total_modems_on_node","u_of_modems_on_line","u_vendor"
"NOC0284873","Outage Other","2020-11-25 09:56:39","2020-11-25 18:10:00","30478","2020-11-25 18:24:37","2 - High","Alarms","External Vendor","Other","Vendor Resolved","Non Preventable","","Public","Charleston, Maryland, Auburn, Panama City, Pinellas, Cleveland, Montgomery, Valley, Huntsville, Illinois, Columbus, Oh, Augusta, Michigan, Dothan, Mid Michigan, Columbus, GA, Newnan, Evansville, Knoxville","","Cloud Service Application Issue: Affecting IVR, Credit Check,  All Provisioning.","Internal Services - Provisioning, Other","","",""
"NOC0284816","Outage Other","2020-11-24 16:27:32","2020-11-24 22:16:55","20983","2020-11-24 22:32:01","2 - High","Alarms","PM","Fiber Work-Contractor","Resolved","Preventable","OH-COLM-REY-FF40, OH-COLM-REY-FF41, OH-COLM-REY-FF42, OH-COLM-REY-FF43, OH-COLM-REY-FF49, OH-COLM-REY-FF50, OH-COLM-REY-FF52, OH-COLM-REY-FF53, OH-COLM-REY-FF59, OH-COLM-REY-FF61, OH-COLM-REY-FF62, OH-COLM-REY-FF65, OH-COLM-REY-FF66, OH-COLM-REY-FF68, OH-COLM-REY-FF76, OH-COLM-REY-FF77, OH-COLM-REY-FF78, OH-COLM-REY-FF80, OH-COLM-REY-FF81, OH-COLM-REY-RN12","Public","Columbus, Oh","","Multiple node outage affecting FF node in the Columbus Oh market - All services out ","Business, Voice, Video, HSD","","",""
"NOC0284862","Outage Node","2020-11-25 08:56:32","2020-11-25 09:35:44","2352","2020-11-25 09:35:44","3 - Moderate","Alarms","PM","Power Supply","Replace","Non Preventable","FL-PINE-HUA-AZ012","Public","Pinellas","","FL-PINE-HUA-AZ012","Business, Voice, Video, HSD","14","0",""
"NOC0284973","Outage Node","2020-11-26 08:36:56","2020-11-26 09:59:36","4960","2020-11-26 09:59:36","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","MI-TROY-STH-SJ1P","Public","Michigan","","MI-TROY-STH-SJ1P","Business, Voice, Video, HSD","184","133",""
"NOC0284983","Outage Node","2020-11-26 10:08:18","2020-11-26 11:30:07","4910","2020-11-26 11:30:07","3 - Moderate","Alarms","PM","Node other","Resolved","Non Preventable","OH-CLEV-BER-PU012","Public","Cleveland","","OH-CLEV-BER-PU012","Business, Voice, Video, HSD","33","23",""
"NOC0284984","Outage Node","2020-11-26 11:05:46","2020-11-26 11:28:38","1372","2020-11-26 11:28:38","3 - Moderate","Other","PM","SNR","Cleared Before/At Arrival","Non Preventable","OH-COLM-ROB-CC24, OH-COLM-ROB-CC25","Public","Columbus, Oh","","OH-COLM-ROB-CC24, OH-COLM-ROB-CC25","Voice, Business, HSD","62","41",""
"NOC0284988","Outage Node","2020-11-26 11:54:12","2020-11-26 13:11:38","4677","2020-11-26 14:43:00","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","FL-PINE-HUH-HK025","Public","Pinellas","","FL-PINE-HUH-HK025","Business, Voice, Video, HSD","25","10",""
"NOC0284996","Outage Node","2020-11-26 19:56:01","2020-11-27 13:09:47","62027","2020-11-27 13:09:47","3 - Moderate","Alarms","PM","Commercial Power-Node","Power Restored","Non Preventable","FL-PINE-HUC-CQ092","Public","Pinellas","","FL-PINE-HUC-CQ092","Business, Voice, Video, HSD","68","1",""
"NOC0284997","Outage Other","2020-11-26 20:57:33","2020-11-26 22:51:08","6815","2020-11-26 22:59:26","3 - Moderate","Call Center","Assurance Video","Local VIPr","Reboot","Non Preventable","","Public","Michigan","","Multiple Channel Outage - NBC HD (CH 203), CW HD (CH 204), Fox Sports Detroit HD (CH 220) - Michigan","Channel","","",""
"NOC0284999","Outage Node","2020-11-26 21:42:49","2020-11-27 06:39:11","32182","2020-11-27 06:55:17","3 - Moderate","Alarms","PM","Fiber Repaired/Cleaned","Outside Plant/Fiber","Non Preventable","FL-PINE-HUD-DX087","Public","Pinellas","","FL-PINE-HUD-DX087","Business, Voice, Video, HSD","28","0",""
"NOC0285001","Outage Node","2020-11-26 21:49:05","2020-11-27 06:39:05","31800","2020-11-27 06:54:31","3 - Moderate","Alarms","PM","Fiber Repaired/Cleaned","Outside Plant/Fiber","Non Preventable","FL-PINE-HUD-DX088","Public","Pinellas","","FL-PINE-HUD-DX088","Business, Voice, Video, HSD","45","1",""
"NOC0285003","Outage Node","2020-11-27 07:06:28","2020-11-27 08:36:10","5384","2020-11-27 08:36:10","3 - Moderate","Alarms","PM","Node Mod","Replace","Non Preventable","FL-PINE-HUD-DT045","Public","Pinellas","","FL-PINE-HUD-DT045","Business, Voice, Video, HSD","50","0",""
"NOC0284970","Outage Node","2020-11-26 06:55:17","2020-11-26 09:20:07","9410","2020-11-26 09:39:18","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","FL-PINE-HUC-CO032","Public","Pinellas","","FL-PINE-HUC-CO032","Business, Voice, Video, HSD","18","4",""
"NOC0284966","Outage Node","2020-11-25 22:25:16","2020-11-26 07:04:15","31140","2020-11-26 07:04:15","3 - Moderate","Alarms","PM","Commercial Power-Node","Power Restored","Non Preventable","MI-MIDM-DIM-DIA01","Public","Mid Michigan","","MI-MIDM-DIM-DIA01","Business, Voice, Video, HSD","156","119",""
"NOC0284962","Outage Node","2020-11-25 20:19:41","2020-11-25 21:45:24","5143","2020-11-26 01:26:42","3 - Moderate","Alarms","PM","Umbilical cord","Resolved","Non Preventable","OH-COLM-IND-CR07","Public","Columbus, Oh","","OH-COLM-IND-CR07","Business, Voice, Video, HSD","45","8",""
"NOC0284864","Outage Other","2020-11-25 09:01:34","2020-11-25 09:08:48","1454","2020-11-25 09:26:57","3 - Moderate","Other","Assurance Video","IPTV encoder","Resolved","Non Preventable","","Public","Knoxville","","Single Channel Outage - USA (Ch 100) - (Knoxville) for WOW TV+","Video","","",""
"NOC0284884","Outage Node","2020-11-25 10:45:33","2020-11-25 11:33:42","2889","2020-11-25 11:33:42","3 - Moderate","Alarms","PM","Directional Coupler/Splitter","Replace","Non Preventable","FL-PANC-HUB-PB032","Public","Panama City","","FL-PANC-HUB-PB032","Business, Voice, Video, HSD","65","53",""
"NOC0284892","Outage Other","2020-11-25 11:27:47","2020-12-01 13:52:44","527097","2020-12-01 13:52:44","3 - Moderate","Other","Assurance Video","IPTV","Resolved","Non Preventable","","Public","Charleston, Maryland, Auburn, Panama City, Pinellas, Cleveland, Montgomery, Valley, Huntsville, Illinois, Columbus, Oh, Augusta, Michigan, Dothan, Mid Michigan, Columbus, GA, Newnan, Evansville, Knoxville","","Restart on BKM01 - All Markets - WOW TV+ VOD","Video","","",""
"NOC0284901","Outage Node","2020-11-25 12:36:38","2020-11-25 13:02:54","1578","2020-11-25 13:02:54","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","MD-MILL-MILL-M074","Public","Maryland","","MD-MILL-MILL-M074","Business, Voice, Video, HSD","52","17",""
"NOC0284929","Outage Node","2020-11-25 15:17:47","2020-11-25 16:34:28","4601","2020-11-25 16:34:28","3 - Moderate","Call Center","PM","Directional Coupler/Splitter","Replace","Non Preventable","AL-MONT-HUC-MC039","Public","Montgomery","","AL-MONT-HUC-MC039","Business, Voice, Video, HSD","59","52",""
"NOC0284945","Outage Node","2020-11-25 16:52:57","2020-11-25 17:52:02","3546","2020-11-25 17:52:02","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","OH-CLEV-NRO-JI24","Public","Cleveland","","OH-CLEV-NRO-JI24","Business, Voice, Video, HSD","154","3",""
"NOC0284955","Outage Other","2020-11-25 18:47:22","2020-11-25 19:13:24","1873","2020-11-25 19:42:14","3 - Moderate","Other","Billing","USHA","Resolved","Non Preventable","","Public","Charleston, Auburn, Panama City, Pinellas, Montgomery, Valley, Huntsville, Augusta, Dothan, Columbus, GA, Newnan, Knoxville","","USHA API services experience  error rate ","Business, Voice, Video, HSD","","",""
"NOC0284957","Outage Node","2020-11-25 19:09:44","2020-11-25 20:13:57","3853","2020-11-25 20:13:57","3 - Moderate","Alarms","PM","Power Supply","Temporary Workaround","Non Preventable","AL-MONT-HUC-MC003","Public","Montgomery","","AL-MONT-HUC-MC003","Business, Voice, Video, HSD","89","53",""
"NOC0284959","Outage Other","2020-11-25 19:14:03","2020-11-25 21:19:12","7509","2020-11-25 21:19:12","3 - Moderate","Alarms","External Vendor","Other Vendor Issue","Resolved","Non Preventable","","Public","Charleston, Maryland, Auburn, Panama City, Pinellas, Cleveland, Montgomery, Valley, Huntsville, Illinois, Columbus, Oh, Augusta, Michigan, Dothan, Mid Michigan, Columbus, GA, Newnan, Evansville, Knoxville","","Amazon Cloud services Errors ","Business, Voice, Video, HSD","","",""
"NOC0285010","Outage Node","2020-11-27 08:41:42","2020-11-27 09:23:13","2492","2020-11-27 09:23:13","3 - Moderate","Call Center","PM","Coax Main Line (main cut)","Resolved","Non Preventable","GA-NEWN-TCR-97","Public","Newnan","","GA-NEWN-TCR-97","Business, Voice, Video, HSD","46","24",""
"NOC0285014","Outage Other","2020-11-27 09:00:06","2020-11-27 11:15:35","9997","2020-11-27 14:33:51","2 - High","Other","Assurance Video","Local VIPr","Configuration","Non Preventable","","Public","Michigan","","Multiple Channel Outage: Impacting Several  Channels   Allen Park & Livonia , MI ","Video","","",""
